term,score
government,62.226120947306946
south,59.30277266081378
people,52.69281119351985
new,51.0899194607328
africa,46.10573857575153
anc,41.61042280259097
local,40.446301732161025
south africa,39.09734448026545
years,37.339863675406605
development,36.836193273669714
country,35.705766835570685
today,33.68957072701951
president,33.08205390024994
national,32.05335817174585
year,31.502408791188564
ons,30.24786691152729
community,30.151653849512847
education,29.489125708984727
nation,28.35307230781855
time,28.228357481104105
world,26.582230102368037
work,26.479852636155382
african,26.422934372454932
en,26.016338711324526
two,25.56272283463713
communities,25.386781723528788
first,24.76734120379981
democracy,24.553259326290668
democratic,23.891635574623884
make,22.009860218695426
countries,21.953958301476124
together,21.552018001072934
history,21.46169034700154
co,20.94694221091504
gentlemen,20.894660166017434
programme,20.767727287448235
future,20.558587681601217
constitution,20.51861107014781
long,20.30058013076455
business,19.629499612047173
needs,19.307802555593383
continue,19.041758242878586
cape,18.198134527091874
building,18.022013253646477
every,17.710262448810234
process,17.60909824228076
south african,17.568245317163296
apartheid,17.024203570113627
local government,17.011399104628143
society,16.843863133330657
project,16.830494735015545
economic,16.78420312687455
role,16.208836143684138
elections,15.954887270213149
areas,15.702804803664531
children,15.283481241327463
operation,15.282711803096436
public,15.254431126978107
young,15.053719101735561
africans,14.962445705505994
past,14.927486990908958
still,14.914711555361576
land,14.834298301617661
trade,14.725503961741865
provincial,14.377707722590676
labour,14.309671382249753
within,13.951082615501818
transformation,13.937900581285465
bring,13.907289682691133
programmes,13.849138972878283
leadership,13.817632860691422
change,13.782250619504207
level,13.501185642871718
set,13.347630743326823
partnership,13.256070765744179
system,13.196683535571625
leaders,13.036432148014795
question,12.980698195155686
economy,12.954091785925382
south africans,12.938207337641837
africas,12.907319205108292
organisation,12.882290561286602
service,12.737238581673807
therefore,12.702363726992651
investment,12.51502541398609
projects,12.50696679363206
constitutional,12.338469167632743
responsibility,12.306021790783387
take,12.298585948953226
life,12.162635806287936
ago,12.077783189854653
even,12.075503811194878
others,11.868445425525545
particular,11.776937894285359
co operation,11.574039984749316
live,11.487690091748863
contribution,11.436826993322422
build,11.402935806242967
task,11.386830644660062
relations,11.355156718142949
international,11.142475821948421
indeed,11.141314684616864
resources,11.018776513158677
major,11.017351674454659
nations,10.987910298357178
policy,10.9814997941791
need,10.89474317156938
possible,10.846704469111334
place,10.801571299010087
rights,10.798508170279309
unity,10.711998793459692
state,10.561158702249598
towards,10.514222472579982
south africas,10.474039750182568
governments,10.464879619233791
far,10.439381350562693
private,10.429857643923476
always,10.347539338755567
cannot,10.32312069581681
reconstruction,10.231359895003205
women,10.210366811985436
political,10.104693307327652
movement,10.090993997181796
matter,9.940653154278145
parliament,9.934612246182144
another,9.81763667887677
visit,9.71564337684864
organisations,9.701302986430125
continent,9.659758433209372
taken,9.45719113165257
working,9.289722055578821
fact,9.24426075735138
end,9.071254785979518
structures,8.874797827362638
whole,8.873311877200011
example,8.867962801936631
lives,8.731828991698832
given,8.70294517951016
elected,8.589109937257273
southern,8.538105091386521
conference,8.495994182912131
across,8.465207974069221
among,8.3667313249171
peoples,8.356017054348971
sector,8.3457146643934
youth,8.272498887752759
vote,8.241884730306019
things,8.178395983278005
already,8.142985206061732
million,8.117279185641262
majority,8.09197431424823
basic,8.088834217787099
services,8.059057118429019
efforts,7.96608345423095
making,7.8775046533353175
meeting,7.831417313987648
negotiations,7.760030453945313
back,7.581764711113357
days,7.5131585050703285
issues,7.496431244219734
reconstruction development,7.477229502112574
white,7.291236699310844
mandela,7.278476672969912
right,7.203790346385788
council,7.141288969510408
going,7.082698678371539
address,7.058378440681168
region,6.867550581426338
action,6.851073800764578
become,6.816140525048678
yet,6.80647078024067
institutions,6.717111460393272
situation,6.714433321691683
approach,6.702802665287196
order,6.608909773479798
different,6.53170522089555
call,6.494078579568274
human,6.4588848064514925
power,6.447441798725377
non,6.4007344982291965
go,6.344061940116187
amongst,6.201291671507502
look,6.15005834104996
including,5.910627834875209
general,5.86227774412656
forward,5.75375256315474
social,5.686552758917584
black,4.979386911251495
common,4.952304441017084
racial,4.857367395912074
point,4.749178620665843
able,4.618961189585087
basis,4.5569342491937155
various,4.540249418962822
liberation,3.6011133042190955
act,2.73796226627456
want,2.6316327423733648
non racial,2.2813995719958307
congress,2.0830644362114565
issue,1.7513514480637928
