year,term,score
2011,leadership,0.4321436819474852
2011,achievement,0.431164539768322
2011,progress,0.39216707727897643
2011,success,0.37534364048317526
2011,political,0.34392863092041126
2011,today,0.3421154881116227
2011,world,0.3119955167528879
2011,stability,0.40251986003012474
2011,need,0.3552682452523668
2011,security,0.3442768217963622
2011,work,0.34178148810812575
2011,together,0.33937296645628234
2011,new,0.3292942006459557
2011,ensure,0.3246766222110182
2011,world,0.28652504276678675
2011,peace,0.25554046738973235
2011,world,0.5967866795707168
2011,peace,0.5322506736473829
2011,conditions,0.40198648607868204
2011,conflict,0.37618757715194706
2011,people,0.23967613835241705
2011,privilege,0.38661549788577015
2011,nations,0.35451374083680837
2011,process,0.3497169377526373
2011,president,0.3405759929708997
2011,international,0.3384746272457197
2011,united,0.33170670895814514
2011,community,0.3314994670882208
2011,thank,0.30327035720959533
2011,peace,0.24514342845455092
2011,leadership,0.803039966610951
2011,government,0.5959251731765345
2011,president,0.495923700750295
2011,south africans,0.4839198555028188
2011,africans,0.47215596285583006
2011,support,0.4295774109075554
2011,south,0.3352808543026398
2011,stability,0.5172240218407513
2011,difficult,0.5076611674151724
2011,towards,0.4990271547214196
2011,country,0.3433812116545931
2011,peace,0.3283606137508121
2011,nations,0.6518243594452177
2011,united,0.6098903601873451
2011,peace,0.4507313534516784
2011,process,0.6372793528063683
2011,political,0.5521490324305222
2011,support,0.5375932221231351
2011,success,1.0
2011,humanity,0.6484045079818933
2011,right,0.6394446584275617
2011,peace,0.413136929887922
2011,able,0.3988073468926943
2011,president,0.35877118476569647
2011,international,0.35655755407413664
2011,community,0.3492097476365579
2011,african,0.3327730723017567
2011,honour,0.3327730723017567
2011,thank,0.31947250424576834
2011,country,0.27005315091715915
2011,peace,0.2582401580832471
