term,score
today,4.3607822264144245
public,2.2256621495654394
president,2.0
south,1.7781045154029218
far,1.7310078640641904
nation,1.7299283746923557
south africa,1.6871297153848912
among,1.680084308059894
africa,1.593092053049503
young,1.5378451104349153
years,1.4414749625218464
live,1.1993434696415224
life,1.1936981500910977
example,1.0
ons,1.0
bring,1.0
government,1.0
first,1.0
back,1.0
amongst,1.0
en,1.0
congress,1.0
country,0.9359155983351494
international,0.9100660816109041
national,0.8444245127207769
majority,0.8355428867844688
african,0.8327764273700116
point,0.7719801206603194
state,0.7397394282948653
meet,0.7331339126862808
together,0.7071067811865475
work,0.7071067811865475
challenges,0.6823690370146569
land,0.6752104648987869
peoples,0.6420966262199808
need,0.6356466733219632
building,0.6326933034480744
movement,0.5982389710819866
experience,0.5935635686822617
continent,0.5893832953419509
making,0.5877503458684293
issue,0.5581134388395439
build,0.5531691493377284
economy,0.537393440609884
every,0.53161374683764
continue,0.5315819674608527
become,0.5219645843416464
place,0.5155763758286274
rights,0.5051312542129526
still,0.4940670565251059
human,0.48831512660400217
anc,0.47939759706915946
south african,0.4707946876947563
level,0.4573659091009558
political,0.4406510564277864
indeed,0.44032302104145593
leadership,0.4362212923329441
world,0.4321830561073139
new,0.42946241689453185
community,0.3745632427635203
