term,score,date
african,3.3504009541571125,1951
situation,2.1237422352514077,1951
congress,1.9548056650812573,1951
continent,1.7105892536148453,1951
national,1.5146698322014107,1951
leaders,1.1927778147266999,1951
act,1.1230864940724947,1951
movement,1.1206576111956585,1951
people,1.085436441127451,1951
youth,1.0271084541938331,1951
year,1.0,1951
different,1.0,1951
democracy,1.0,1951
future,1.0,1951
africa,0.8672727024942326,1951
going,0.8621964947490548,1951
various,0.8196125919219251,1951
become,0.7705808792698475,1951
resources,0.7036070726244139,1951
years,0.6675142116011917,1951
power,0.656428420061355,1951
approach,0.654774590642138,1951
today,0.6373422224391765,1951
far,0.6070497909169753,1951
set,0.5642180312250966,1951
state,0.5595967875069805,1951
taken,0.5477514950148852,1951
organisations,0.5381428149776015,1951
given,0.5357080067391529,1951
policy,0.5307222470811489,1951
programme,0.5121745081021502,1951
even,0.5118295974931707,1951
organisation,0.4859539678995361,1951
possible,0.44095730415997464,1951
make,0.4357552112296813,1951
new,0.42220868373528225,1951
conference,0.41429828298181215,1951
nation,0.3710618397904965,1951
labour,0.349141866534375,1951
land,0.3301158207822405,1951
country,0.2922106524863719,1951
