term,score,date
government,61.12124397167505,1994
south,54.7154277651257,1994
people,53.595164243904385,1994
africa,41.462704401434955,1994
country,40.41804539201298,1994
national,40.11116105908202,1994
south africa,36.370502522342385,1994
development,31.692306003513387,1994
new,30.428963814434592,1994
anc,29.459612667378792,1994
time,29.448109477692434,1994
african,28.146332347209178,1994
rights,25.915413291298545,1994
human,25.520345014454524,1994
need,25.23292082451852,1994
reconstruction,25.209641946614234,1994
world,24.51907243952067,1994
programme,23.24663929255892,1994
process,22.38909429413962,1994
democratic,21.397325069754075,1994
take,21.27686139348125,1994
society,21.2753558349653,1994
reconstruction development,20.677905676275014,1994
economic,20.33872435561768,1994
together,20.32329750573922,1994
public,19.907708345363588,1994
among,19.863302223652774,1994
constitution,18.93568615358637,1994
unity,18.92232932716058,1994
first,18.91810867788655,1994
work,18.096155322623964,1994
conference,18.008964008770718,1994
years,17.051607564436924,1994
nation,17.036163626526122,1994
community,16.74583155252604,1994
democracy,16.71626034046181,1994
south african,16.315703993090953,1994
make,16.231892185130697,1994
issues,16.2301925557597,1994
today,15.951824265099463,1994
needs,15.69656722676376,1994
projects,15.414971485751229,1994
leaders,14.980407769266646,1994
president,14.94349385567155,1994
structures,14.917021948099647,1994
past,14.76942482681243,1994
major,14.385706826501888,1994
place,14.308947307603463,1994
international,14.287092734328953,1994
africans,14.070824167679872,1994
