term,score,date
people,7.4176701910226885,2004
democracy,7.409313263189509,2004
country,6.431062619107966,2004
africa,5.53971094217749,2004
want,4.973372076408383,2004
non,4.814148411714756,2004
history,4.57001302622969,2004
development,4.314815543041641,2004
world,4.28799258510674,2004
campaign,4.123152419667152,2004
mandela,4.016593140841972,2004
african,4.003401800904051,2004
make,3.7221010644316603,2004
partnership,3.6865003562206735,2004
continent,3.6393109750512678,2004
society,3.5140805845337635,2004
president,3.3900955000956006,2004
democratic,3.295294875143781,2004
today,3.2329764112634494,2004
leaders,3.1909818725143357,2004
first,2.976575330942629,2004
time,2.839872392966291,2004
cannot,2.813730128696502,2004
investment,2.800351327433019,2004
long,2.7269794264533744,2004
take,2.689386688040682,2004
common,2.539708411681378,2004
nation,2.4944220087922906,2004
constitution,2.4078323785598585,2004
human,2.39043306239955,2004
international,2.3885066942794877,2004
apartheid,2.2864597658660504,2004
order,2.2265054182603072,2004
life,2.1735731697092175,2004
live,2.0871888372599052,2004
young,2.068748585634615,2004
years,2.0387230194639927,2004
call,1.9096469024314389,2004
government,1.8924175507977254,2004
work,1.8835319155048165,2004
new,1.8590870355836786,2004
every,1.859008926200759,2004
nations,1.8250465903354411,2004
towards,1.8031374732604806,2004
able,1.764624384639749,2004
yet,1.7279435980319993,2004
already,1.721217846248761,2004
racial,1.7095524020411157,2004
efforts,1.691314457348269,2004
need,1.6627397353421216,2004
