term,combined score,date,score category
general,2.3401682867892637,1962,unique neutral score
democratic,2.08366286144191,1962,unique neutral score
whose,1.740860350591396,1962,unique neutral score
fact,1.45951820149042,1962,unique neutral score
respect,1.4246623226511843,1962,unique neutral score
others,1.285751429110587,1962,unique neutral score
progress,1.214196923150564,1962,unique neutral score
peoples,1.076112641876861,1962,unique neutral score
poverty,1.0559945889773197,1962,unique neutral score
common,1.033731670336866,1962,unique neutral score
organisation,0.9721667586305852,1962,unique neutral score
right,0.9554891254429504,1962,unique neutral score
amongst,0.9241116240814864,1962,unique neutral score
majority,0.9022499794634368,1962,unique neutral score
peace,0.881546282534084,1962,unique neutral score
millions,0.873827549903567,1962,unique neutral score
white,7.391554760605356,1962,unique high sentiment score
peaceful,3.7679940903062175,1962,unique high sentiment score
fear,3.185206341641683,1962,unique high sentiment score
fight,3.141920667148117,1962,unique high sentiment score
even,2.847659336643864,1962,unique high sentiment score
police,2.844377124897256,1962,unique high sentiment score
become,2.699406855911023,1962,unique high sentiment score
clear,2.5040674593641543,1962,unique high sentiment score
power,2.264289870681231,1962,unique high sentiment score
difficult,1.770982707508673,1962,unique high sentiment score
importance,1.6302023144066708,1962,unique high sentiment score
non,1.544033902521311,1962,unique high sentiment score
free,1.513388665597584,1962,unique high sentiment score
indeed,1.456848708109793,1962,unique high sentiment score
create,1.434584522912516,1962,unique high sentiment score
system,1.403558080295932,1962,unique high sentiment score
