term,combined score,date,score category
rights,25.915413291298545,1994,unique neutral score
human,25.520345014454524,1994,unique neutral score
programme,23.24663929255892,1994,unique neutral score
take,21.27686139348125,1994,unique neutral score
reconstruction development,20.677905676275014,1994,unique neutral score
public,19.907708345363588,1994,unique neutral score
among,19.863302223652774,1994,unique neutral score
constitution,18.93568615358637,1994,unique neutral score
unity,18.92232932716058,1994,unique neutral score
conference,18.008964008770718,1994,unique neutral score
south african,16.315703993090953,1994,unique neutral score
projects,15.414971485751227,1994,unique neutral score
structures,14.917021948099649,1994,unique neutral score
past,14.76942482681243,1994,unique neutral score
major,14.385706826501888,1994,unique neutral score
place,14.308947307603464,1994,unique neutral score
africans,14.070824167679872,1994,unique neutral score
local,38.21335822639406,1995,unique high sentiment score
communities,28.9034786058958,1995,unique high sentiment score
elections,27.02458902220633,1995,unique high sentiment score
apartheid,26.591394889969344,1995,unique high sentiment score
even,25.472793577803845,1995,unique high sentiment score
countries,23.8926759373209,1995,unique high sentiment score
responsibility,23.16137458361979,1995,unique high sentiment score
business,22.94169809441947,1995,unique high sentiment score
cannot,22.059848545020227,1995,unique high sentiment score
future,21.116503226404596,1995,unique high sentiment score
year,20.82936615081701,1995,unique high sentiment score
history,19.61918233112067,1995,unique high sentiment score
long,19.50179165926259,1995,unique high sentiment score
change,19.328144364795584,1995,unique high sentiment score
areas,18.94739303962715,1995,unique high sentiment score
challenges,16.93639030629446,1995,unique high sentiment score
within,16.483447985289416,1995,unique high sentiment score
