term,combined score,date,score category
children,1.7496370606962954,2008,unique neutral score
year,1.0,2008,unique neutral score
nation,0.861570160081889,2008,unique neutral score
non,0.8075187304555725,2008,unique neutral score
look,0.7271960935375522,2008,unique neutral score
things,0.7166924094119345,2008,unique neutral score
common,0.6973894107966624,2008,unique neutral score
youth,0.5409739176365678,2008,unique neutral score
back,0.5332027723491064,2008,unique neutral score
change,0.5042830431611379,2008,unique neutral score
social,0.4770438883147691,2008,unique neutral score
history,0.4736863089453093,2008,unique neutral score
take,0.4457440790587228,2008,unique neutral score
society,0.4391808423633775,2008,unique neutral score
mandela,2.0,2009,unique high sentiment score
challenges,1.480133723337081,2009,unique high sentiment score
work,1.4246113566351477,2009,unique high sentiment score
struggle,0.9053757208012922,2009,unique high sentiment score
public,0.8205280935138736,2009,unique high sentiment score
role,0.7883313989880716,2009,unique high sentiment score
able,0.7820071975488798,2009,unique high sentiment score
working,0.774570315406926,2009,unique high sentiment score
south africa,0.7691255799330572,2009,unique high sentiment score
become,0.7641158088431973,2009,unique high sentiment score
years,0.7314501128931601,2009,unique high sentiment score
africa,0.7262558640364616,2009,unique high sentiment score
organisation,0.725051413346757,2009,unique high sentiment score
south,0.6622393003378503,2009,unique high sentiment score
political,0.6450790886983597,2009,unique high sentiment score
countries,0.5935769001743901,2009,unique high sentiment score
potential,0.5214006047837382,2009,unique high sentiment score
conference,0.4944437152889547,2009,unique high sentiment score
democratic,0.4818870165751754,2009,unique high sentiment score
place,0.4661821061430642,2009,unique high sentiment score
communities,0.4509575596189444,2009,unique high sentiment score
fact,0.423482910322154,2009,unique high sentiment score
