term,combined score,date,score category
anc,6.59016300868686,1964,unique neutral score
organisation,4.745514714112763,1964,unique neutral score
government,4.173803377031913,1964,unique neutral score
national,3.251050617125868,1964,unique neutral score
political,3.218036315729511,1964,unique neutral score
organisations,2.694217050508615,1964,unique neutral score
time,2.6929350115282946,1964,unique neutral score
policy,2.1354252142030927,1964,unique neutral score
first,1.9835049510249871,1964,unique neutral score
always,1.861428783018793,1964,unique neutral score
change,1.8209132659364131,1964,unique neutral score
two,1.81947475786539,1964,unique neutral score
taken,1.7434250694965074,1964,unique neutral score
african,1.6605764774973713,1964,unique neutral score
new,1.617840421439933,1964,unique neutral score
far,1.5305833385957817,1964,unique neutral score
order,1.493081944025818,1964,unique neutral score
co,1.380665672867092,1964,unique neutral score
already,1.3726799003895072,1964,unique neutral score
set,1.241626334715099,1964,unique neutral score
leaders,1.2138015371773456,1964,unique neutral score
action,1.1644651014152978,1964,unique neutral score
years,1.160083463882389,1964,unique neutral score
fact,1.1487665419046784,1964,unique neutral score
place,1.0324139556346277,1964,unique neutral score
still,1.0,1964,unique neutral score
things,1.0,1964,unique neutral score
particular,1.0,1964,unique neutral score
various,0.9954342824256046,1964,unique neutral score
constitutional,0.9789295330842414,1964,unique neutral score
conference,0.8248503593708476,1964,unique neutral score
want,0.7970489299474853,1964,unique neutral score
work,0.7925107553575585,1964,unique neutral score
nation,0.7429898232272834,1964,unique neutral score
days,0.7176931396493608,1964,unique neutral score
trade,0.6766449304243773,1964,unique neutral score
call,0.6742714314105112,1964,unique neutral score
power,0.6494756680420901,1964,unique neutral score
partnership,0.6189551494162996,1964,unique neutral score
future,0.6098694701284779,1964,unique neutral score
others,0.603949491921284,1964,unique neutral score
struggle,2.6849152546466923,1980,unique high sentiment score
every,1.79326402076549,1980,unique high sentiment score
force,1.3365174227416747,1980,unique high sentiment score
world,1.0,1980,unique high sentiment score
become,0.7785278794591733,1980,unique high sentiment score
high,0.7588579081624672,1980,unique high sentiment score
life,0.7008761079064553,1980,unique high sentiment score
even,0.6512562285454815,1980,unique high sentiment score
within,0.6318128488714946,1980,unique high sentiment score
another,0.6145734983959211,1980,unique high sentiment score
black,0.5743759760241763,1980,unique high sentiment score
country,0.4659713403529708,1980,unique high sentiment score
