term,combined score,date,score category
award,10.021350672883855,2002,unique neutral score
time,6.141645072300191,2002,unique neutral score
history,5.7840522435203,2002,unique neutral score
african,5.7384004699968205,2002,unique neutral score
able,5.73432609346452,2002,unique neutral score
build,5.576903444294576,2002,unique neutral score
make,5.236890426203003,2002,unique neutral score
privilege,5.224026170663607,2002,unique neutral score
years,5.087705571855989,2002,unique neutral score
pleasure,4.762940679568117,2002,unique neutral score
general,4.751446752176193,2002,unique neutral score
celebrate,4.716208564061492,2002,unique neutral score
young,10.116854388605097,2002,unique high sentiment score
peace,8.849667491947525,2002,unique high sentiment score
still,7.903067864999801,2002,unique high sentiment score
death,7.87720748413596,2002,unique high sentiment score
help,7.788653755957018,2002,unique high sentiment score
leaders,7.4113974638237154,2002,unique high sentiment score
conflict,7.38197108607601,2002,unique high sentiment score
care,7.009592918814571,2002,unique high sentiment score
amongst,6.730539403980163,2002,unique high sentiment score
take,6.673265749635779,2002,unique high sentiment score
place,6.538076046915029,2002,unique high sentiment score
even,6.473932486734151,2002,unique high sentiment score
