term,combined score,date,score category
years,5.374672091449318,2007,unique neutral score
long,2.1765663047705828,2007,unique neutral score
organisation,1.81183485157562,2007,unique neutral score
south africa,1.7326729742676368,2007,unique neutral score
time,1.7223114195014275,2007,unique neutral score
continent,1.5985592873416312,2007,unique neutral score
south,1.4914906971783957,2007,unique neutral score
congress,1.4601502469444052,2007,unique neutral score
project,1.4227060709784989,2007,unique neutral score
possible,1.2226255612194892,2007,unique neutral score
resources,1.1280158762820809,2007,unique neutral score
fact,1.0,2007,unique neutral score
go,1.0,2007,unique neutral score
million,1.0,2007,unique neutral score
change,1.0,2007,unique neutral score
president,1.0,2007,unique neutral score
order,1.0,2007,unique neutral score
always,0.9875127617074464,2007,unique neutral score
national,0.9638016303634412,2007,unique neutral score
human,0.8267659794472189,2007,unique neutral score
african,0.7981014686649652,2007,unique neutral score
cannot,0.7731485148574095,2007,unique neutral score
indeed,0.7336016683624335,2007,unique neutral score
forward,0.7066177639665958,2007,unique neutral score
given,0.6715571275482307,2007,unique neutral score
going,0.6301883114733482,2007,unique neutral score
first,0.6219713085160024,2007,unique neutral score
cape,0.6149149129285839,2007,unique neutral score
young,0.6136811157915444,2007,unique neutral score
build,0.6012809169692681,2007,unique neutral score
unity,0.5978855650927553,2007,unique neutral score
become,0.5908541282801357,2007,unique neutral score
bring,0.5809088595731616,2007,unique neutral score
local,0.5688891638331518,2007,unique neutral score
task,0.5624954313492846,2007,unique neutral score
rights,0.5383945582803232,2007,unique neutral score
democracy,1.409408871359227,2008,unique high sentiment score
children,1.228513999073274,2008,unique high sentiment score
anc,1.0,2008,unique high sentiment score
within,1.0,2008,unique high sentiment score
future,0.941385981768462,2008,unique high sentiment score
non,0.813538971953121,2008,unique high sentiment score
things,0.716451322538324,2008,unique high sentiment score
across,0.7102682988091539,2008,unique high sentiment score
far,0.7039310645984809,2008,unique high sentiment score
example,0.5925953169318339,2008,unique high sentiment score
past,0.582632124453414,2008,unique high sentiment score
others,0.562204893454604,2008,unique high sentiment score
lives,0.4881981908083959,2008,unique high sentiment score
social,0.4325751005786231,2008,unique high sentiment score
challenge,0.4279510072381737,2008,unique high sentiment score
