term,combined score,date,score category
democracy,6.972311741104901,2004,unique neutral score
non,5.422138916017264,2004,unique neutral score
development,4.475367300479826,2004,unique neutral score
continent,4.369124999101945,2004,unique neutral score
society,3.877616649722332,2004,unique neutral score
african,3.845063713268786,2004,unique neutral score
democratic,3.125180339679257,2004,unique neutral score
investment,3.027329535725904,2004,unique neutral score
work,2.9064472698342274,2004,unique neutral score
project,2.898721453649137,2004,unique neutral score
always,2.5498683628781,2004,unique neutral score
racial,2.361923585079494,2004,unique neutral score
go,2.319342640235728,2004,unique neutral score
towards,2.2566349107261017,2004,unique neutral score
partnership,2.182544152414565,2004,unique neutral score
already,1.9804176404817693,2004,unique neutral score
international,1.9654662809404728,2004,unique neutral score
nation,1.9336363659574896,2004,unique neutral score
cape,1.89380719389492,2004,unique neutral score
new,1.820621564053224,2004,unique neutral score
system,1.8158250496956625,2004,unique neutral score
another,1.801234112950011,2004,unique neutral score
able,1.7688102073038436,2004,unique neutral score
business,1.7657619461481673,2004,unique neutral score
efforts,1.735141295678413,2004,unique neutral score
leaders,5.228278761176142,2005,unique high sentiment score
public,3.816892585721628,2005,unique high sentiment score
action,3.622984669216417,2005,unique high sentiment score
future,3.3366124339234737,2005,unique high sentiment score
become,2.934227606241105,2005,unique high sentiment score
women,2.595503561514178,2005,unique high sentiment score
children,2.415194739155141,2005,unique high sentiment score
power,2.218060140663531,2005,unique high sentiment score
education,2.1408613351042347,2005,unique high sentiment score
within,2.131803242042352,2005,unique high sentiment score
need,2.096364807042214,2005,unique high sentiment score
yet,2.046688157469021,2005,unique high sentiment score
past,1.8325709389782343,2005,unique high sentiment score
back,1.7864694627725743,2005,unique high sentiment score
particular,1.7644169638845146,2005,unique high sentiment score
lives,1.761307611503381,2005,unique high sentiment score
others,1.7224948875563593,2005,unique high sentiment score
point,1.7060807105236564,2005,unique high sentiment score
take,1.6579011950014573,2005,unique high sentiment score
challenge,1.583638276221519,2005,unique high sentiment score
meet,1.529104697306633,2005,unique high sentiment score
right,1.509164273427396,2005,unique high sentiment score
challenges,1.451691585312913,2005,unique high sentiment score
struggle,1.438999539121838,2005,unique high sentiment score
constitution,1.4070641907730952,2005,unique high sentiment score
