term,combined score,date,score category
elections,27.53465624891725,1995,unique neutral score
process,26.031091695950824,1995,unique neutral score
make,25.556217019224743,1995,unique neutral score
business,22.7380347760747,1995,unique neutral score
need,22.44607144573309,1995,unique neutral score
responsibility,21.931066945196363,1995,unique neutral score
countries,21.423658728741056,1995,unique neutral score
local government,19.833223881925758,1995,unique neutral score
reconstruction,19.789626134384772,1995,unique neutral score
leaders,19.243746951539645,1995,unique neutral score
change,19.07723969024685,1995,unique neutral score
resources,18.838672335762404,1995,unique neutral score
areas,18.263096555825825,1995,unique neutral score
within,18.000336886424165,1995,unique neutral score
building,17.513919752598277,1995,unique neutral score
relations,17.260353758145964,1995,unique neutral score
ons,28.920689951211266,1996,unique high sentiment score
education,26.84242112563753,1996,unique high sentiment score
en,24.605425876028555,1996,unique high sentiment score
two,24.127406090424795,1996,unique high sentiment score
province,22.221604419281537,1996,unique high sentiment score
long,19.78734617039941,1996,unique high sentiment score
past,19.582152076608978,1996,unique high sentiment score
challenge,19.14806265214976,1996,unique high sentiment score
africans,18.869486148256307,1996,unique high sentiment score
co,18.794542491526567,1996,unique high sentiment score
campaign,18.45886919126897,1996,unique high sentiment score
public,18.421782317054635,1996,unique high sentiment score
life,18.186684530680616,1996,unique high sentiment score
challenges,17.827675573630334,1996,unique high sentiment score
constitution,17.70589762719943,1996,unique high sentiment score
role,17.65796597326265,1996,unique high sentiment score
