term,combined score,date,score category
congress,1.6674433840348746,1985,unique neutral score
national,1.5962182116377814,1985,unique neutral score
power,1.5082652158664416,1985,unique neutral score
african,1.1909248024129315,1985,unique neutral score
across,1.0,1985,unique neutral score
apartheid,1.0,1985,unique neutral score
different,1.0,1985,unique neutral score
others,1.0,1985,unique neutral score
peoples,0.5063352121156918,1985,unique neutral score
forward,0.4783268804610512,1985,unique neutral score
organisation,0.4749710038851292,1985,unique neutral score
future,0.4479548147266135,1985,unique neutral score
unity,0.4360488407740548,1985,unique neutral score
years,0.3726105849494894,1985,unique neutral score
people,0.3135233026284487,1985,unique neutral score
world,1.0,1986,unique high sentiment score
always,0.6475556663336638,1986,unique high sentiment score
lives,0.5936275514752447,1986,unique high sentiment score
struggle,0.5557879516514824,1986,unique high sentiment score
together,0.5213169974192421,1986,unique high sentiment score
