term,combined score,date,score category
call,3.3325044572988305,1961,unique neutral score
work,3.2118206819470574,1961,unique neutral score
different,2.4317277768353533,1961,unique neutral score
public,2.378891201507857,1961,unique neutral score
non,2.277147819466512,1961,unique neutral score
days,1.8645984302744567,1961,unique neutral score
new,1.8080835257505052,1961,unique neutral score
constitution,1.7484062472989286,1961,unique neutral score
cape,1.657578889306695,1961,unique neutral score
long,1.6284754201726594,1961,unique neutral score
take,1.5090467363627444,1961,unique neutral score
bring,1.4333296782465157,1961,unique neutral score
already,1.3303260273543218,1961,unique neutral score
co,1.3275993078324857,1961,unique neutral score
live,1.2435332371972865,1961,unique neutral score
place,1.0884487175694282,1961,unique neutral score
apartheid,1.07281849388856,1961,unique neutral score
young,1.016269541706807,1961,unique neutral score
still,1.0,1961,unique neutral score
always,1.0,1961,unique neutral score
meeting,1.0,1961,unique neutral score
end,0.9699364964824676,1961,unique neutral score
co operation,0.9350273688154328,1961,unique neutral score
operation,0.910330443909882,1961,unique neutral score
mandela,34.68454228915975,1962,unique high sentiment score
parliament,5.119491103130638,1962,unique high sentiment score
go,3.89138332830708,1962,unique high sentiment score
general,3.716784486620433,1962,unique high sentiment score
fact,3.428118996201361,1962,unique high sentiment score
two,3.1259272247319423,1962,unique high sentiment score
point,2.8921757484723707,1962,unique high sentiment score
right,2.782815573278858,1962,unique high sentiment score
today,2.4890155712654063,1962,unique high sentiment score
another,2.4871885033551115,1962,unique high sentiment score
force,2.427139194910912,1962,unique high sentiment score
world,2.323882409476467,1962,unique high sentiment score
years,2.298963878720446,1962,unique high sentiment score
policy,2.1101270338607,1962,unique high sentiment score
experience,2.0986982011246584,1962,unique high sentiment score
order,2.007673102825425,1962,unique high sentiment score
elected,1.9405849012341665,1962,unique high sentiment score
history,1.837740258473012,1962,unique high sentiment score
black,1.8095916496597928,1962,unique high sentiment score
issues,1.805854300448157,1962,unique high sentiment score
majority,1.751561784757807,1962,unique high sentiment score
set,1.6311578415078851,1962,unique high sentiment score
whole,1.5862280308182972,1962,unique high sentiment score
democratic,1.5711790489265507,1962,unique high sentiment score
