term,combined score,date,score category
together,7.159623898031006,2000,unique neutral score
need,6.216593737183821,2000,unique neutral score
make,6.0900443194680856,2000,unique neutral score
young,5.697717508290136,2000,unique neutral score
across,5.054251310529148,2000,unique neutral score
end,4.67705750125034,2000,unique neutral score
different,4.605079851866182,2000,unique neutral score
conference,4.574736664510284,2000,unique neutral score
future,4.55515598477036,2000,unique neutral score
continent,4.461428031751966,2000,unique neutral score
responsibility,4.231536536627733,2000,unique neutral score
history,4.102600592852351,2000,unique neutral score
community,3.960300952768432,2000,unique neutral score
economy,3.9495424483057575,2000,unique neutral score
far,3.925357510172438,2000,unique neutral score
point,3.837821935351623,2000,unique neutral score
indeed,3.4288079555068283,2000,unique neutral score
congress,3.390615257015833,2000,unique neutral score
things,3.359868635784292,2000,unique neutral score
en,9.967483423228504,2001,unique high sentiment score
always,8.59009731179337,2001,unique high sentiment score
education,8.32311963129654,2001,unique high sentiment score
children,8.271911620158553,2001,unique high sentiment score
political,7.889578877517305,2001,unique high sentiment score
nation,6.4075390234053815,2001,unique high sentiment score
cannot,6.303677582998384,2001,unique high sentiment score
social,6.261216379851499,2001,unique high sentiment score
struggle,6.257699480166002,2001,unique high sentiment score
fact,5.957719013832225,2001,unique high sentiment score
continue,5.429212033962983,2001,unique high sentiment score
still,5.121967548796087,2001,unique high sentiment score
major,4.984892725206012,2001,unique high sentiment score
state,4.854138617360172,2001,unique high sentiment score
back,4.640179302563656,2001,unique high sentiment score
towards,4.613317492664327,2001,unique high sentiment score
africans,4.540902567856397,2001,unique high sentiment score
want,4.502743530996831,2001,unique high sentiment score
problems,4.499039732397164,2001,unique high sentiment score
