term,combined score,date,score category
future,20.975913548690865,1993,unique neutral score
black,18.692493687442635,1993,unique neutral score
elections,15.971584094170368,1993,unique neutral score
non,15.357071504929866,1993,unique neutral score
economy,15.050857253202407,1993,unique neutral score
place,13.342068262626189,1993,unique neutral score
right,12.965774857992564,1993,unique neutral score
south africans,12.909759440829305,1993,unique neutral score
white,12.844935390044522,1993,unique neutral score
council,12.662724819052023,1993,unique neutral score
education,12.430361576518534,1993,unique neutral score
policy,12.116555925912216,1993,unique neutral score
system,11.641637886310246,1993,unique neutral score
negotiations,11.627427593551385,1993,unique neutral score
business,11.4719600842843,1993,unique neutral score
action,11.18759586841411,1993,unique neutral score
human,23.88061151471807,1994,unique high sentiment score
reconstruction,20.52407209165718,1994,unique high sentiment score
programme,19.37584326589328,1994,unique high sentiment score
needs,18.554007045307888,1994,unique high sentiment score
take,18.226358629616787,1994,unique high sentiment score
make,17.69117388609701,1994,unique high sentiment score
conference,17.189422694400964,1994,unique high sentiment score
want,17.070986000602627,1994,unique high sentiment score
among,16.61612353988209,1994,unique high sentiment score
public,16.560407673666266,1994,unique high sentiment score
reconstruction development,15.934303056511055,1994,unique high sentiment score
nation,15.237524920083912,1994,unique high sentiment score
projects,14.84130419325824,1994,unique high sentiment score
past,14.785368514998511,1994,unique high sentiment score
general,14.099133534575762,1994,unique high sentiment score
life,13.59257837340999,1994,unique high sentiment score
